Keyword,Name,Street Address,City,State,Zip Code,Website,Employee Count,UEI,SBIR Profile Link
3DFlexible Inc,3DFlexible Inc,11008 Chelsea Way,Laurel,MD,20723-1097,http://www.3dflexible.com/,6.0,ZZKFKXNTMMA3,https://legacy.www.sbir.gov/sbirsearch/detail/1221615
Pathotrak Inc.,PATHOTRAK INC.,9517 Ewing Dr,Bethesda,MD,20817-2469,https://www.pathotrak.com,3.0,MBL4UM9AJVZ8,https://legacy.www.sbir.gov/sbirsearch/detail/1653839
VisiSonics Corporation,VisiSonics Corporation,6800 Koandah Gardens,Highland,MD,20777-9797,,6.0,,https://legacy.www.sbir.gov/sbirsearch/detail/418904
Anonitech,ANONITECH LLC,3000 Cluster Pines Ct,Ellicott City,MD,21042-7619,,3.0,EFUTULCNXQG8,https://legacy.www.sbir.gov/sbirsearch/detail/1829737
PZA innovation LLC,PZA INNOVATION LLC,403 Far Hills Ct,Towson,MD,21286-7319,https://pzainnovation.com,2.0,FNB4LENH6JW7,https://legacy.www.sbir.gov/sbirsearch/detail/1830261
SpringGem Weather Information,"SpringGem Weather Information, LLC",10804 Tuckahoe Way,North Potomac,MD,20878-4295,http://www.sg-weather.com,4.0,FFFNG83J2BB8,https://legacy.www.sbir.gov/sbirsearch/detail/1497055
Tao Systems,"TAO SYSTEMS, INC.","471 Mclaws Circle, Suite A",Williamsburg,VA,23185,,9.0,,https://legacy.www.sbir.gov/sbirsearch/detail/326469
SeeHear,SeeHear LLC,2500 Clarendon Blvd. #814,Arlington,VA,22201,,3.0,NNGGL4HBEAW1,https://legacy.www.sbir.gov/sbirsearch/detail/418221
MiMoCloud,MIMOCLOUD INC,9304 Belle Terre Way,Potomac,MD,20854-4642,http://MiMoCloud.com/,3.0,KS8VTNJSQ1D6,https://legacy.www.sbir.gov/sbirsearch/detail/363109
"Phase, Inc.","Phase, Inc.",11148 Treynorth Dr Ste A,Cornelius,NC,28031-8242,,1.0,KDUMCTBFT188,https://legacy.www.sbir.gov/sbirsearch/detail/1837031
Astek Diagnostics Inc.,ASTEK DIAGNOSTICS INC.,1450 S Rolling Rd,Baltimore,MD,21227-3863,,2.0,,https://legacy.www.sbir.gov/sbirsearch/detail/1833625
Glycan Therapeutics Corporation,GLYCAN THERAPEUTICS CORPORATION,617 Hutton St,Raleigh,NC,27606-6330,https://glycantherapeutics.com,8.0,KYG3DZSMH4R7,https://legacy.www.sbir.gov/sbirsearch/detail/410951
